"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		211",牢力,2017-12-28,1.1,3.7,160,11:41,5.3,140,13:14
"		211",牢力,2017-12-29,1.4,4,160,15:54,6.6,160,15:21
"		211",牢力,2017-12-30,1.1,3,160,13:40,4.6,160,13:42
"		211",牢力,2017-12-31,2.3,5.2,180,14:35,9.3,200,13:57
"		211",牢力,2018-01-01,0.9,4,200,13:52,7.6,230,13:45
"		211",牢力,2018-01-02,1.4,4,180,11:27,7.2,180,13:31
"		211",牢力,2018-01-03,1.1,4.2,180,15:11,7,180,15:09
"		211",牢力,2018-01-04,0.9,2.8,140,12:21,4.6,160,12:22
"		211",牢力,2018-01-05,1.4,4,180,14:23,6.4,160,12:51
"		211",牢力,2018-01-06,0.9,3.5,160,14:40,5.4,160,14:35
"		211",牢力,2018-01-07,0.8,3,200,13:52,4.4,200,13:55
"		211",牢力,2018-01-08,2.3,5.4,160,23:33,9.4,160,23:05
"		211",牢力,2018-01-09,3.8,5.5,160,10:33,10.3,160,12:08
"		211",牢力,2018-01-10,1.8,5,160,13:10,9.8,180,12:49
"		211",牢力,2018-01-11,2.1,4.5,160,11:55,8,160,15:01
"		211",牢力,2018-01-12,1.6,4.4,180,15:06,7.6,160,15:46
"		211",牢力,2018-01-13,1,4.8,180,13:27,6.7,200,13:25
"		211",牢力,2018-01-14,1.7,4.6,160,21:23,9.9,180,20:49
"		211",牢力,2018-01-15,3.1,5.3,180,5:14,9.2,160,2:40
"		211",牢力,2018-01-16,1.1,3.8,160,11:57,6.5,140,12:39
"		211",牢力,2018-01-17,1.8,4.4,180,15:09,7.6,140,21:16
"		211",牢力,2018-01-18,2.3,4.3,160,5:14,7,160,0:10
"		211",牢力,2018-01-19,1.2,4.3,160,14:50,6.7,200,15:28
"		211",牢力,2018-01-20,1.2,4.3,180,13:40,6.6,180,13:34
"		211",牢力,2018-01-21,0.7,3.7,160,16:20,5.5,160,15:50
"		211",牢力,2018-01-22,0.9,2.9,180,15:27,5.3,250,15:37
"		211",牢力,2018-01-23,3,6,180,13:43,9.9,140,13:37
"		211",牢力,2018-01-24,2.5,5.6,180,13:54,9.9,160,13:53
"		211",牢力,2018-01-25,1.8,4.9,180,16:14,7.9,180,16:05
"		211",牢力,2018-01-26,1.7,4.2,180,13:15,6.2,180,11:55
"		211",牢力,2018-01-27,1,3.6,160,13:54,5.4,160,13:46
"		211",牢力,2018-01-28,2.3,5.8,180,14:44,11.3,160,14:16
"		211",牢力,2018-01-29,2.5,5.5,180,10:55,9.3,200,10:23
"		211",牢力,2018-01-30,2.6,5.4,160,16:59,9.8,180,16:58
"		211",牢力,2018-01-31,1.9,4.2,160,13:10,6.8,180,13:03
"		211",牢力,2018-02-01,0.7,3.3,160,12:28,5.1,160,14:33
"		211",牢力,2018-02-02,0.9,3.4,50,16:41,5.2,180,14:53
"		211",牢力,2018-02-03,2,5.5,160,13:28,10,140,12:46
"		211",牢力,2018-02-04,1.5,5,160,15:13,8.6,140,15:11
"		211",牢力,2018-02-05,1.5,5.3,160,13:27,8.7,140,13:11
"		211",牢力,2018-02-06,1.5,4.7,160,14:45,7.7,180,14:55
"		211",牢力,2018-02-07,1.2,4.2,160,15:14,6.8,160,15:14
"		211",牢力,2018-02-08,1.3,4.9,180,15:33,8.7,200,15:31
