지역,측정소명,날짜,미세먼지 농도
원주시,문막읍,2020-11-30,26
강릉시,옥천동,2020-11-30,15
동해시,천곡동,2020-11-30,5
삼척시,남양동,2020-11-30,9
평창군,평창읍,2020-11-30,30
정선군,정선읍,2020-11-30,21
횡성군,횡성읍,2020-11-30,25
고성군,상리,2020-11-30,12
양양군,양양읍,2020-11-30,12
속초시,금호동,2020-11-30,15
철원군,갈말읍,2020-11-30,27
홍천군,홍천읍,2020-11-30,32
영월군,영월읍,2020-11-30,28
화천군,화천읍,2020-11-30,19
태백시,황지동,2020-11-30,15
인제군,인제읍,2020-11-30,19
춘천시,중앙로,2020-11-31,0
춘천시,석사동,2020-11-31,0
춘천시,신사우동,2020-11-31,0
양구군,양구읍,2020-11-31,0
원주시,중앙동,2020-11-31,0
원주시,반곡동,2020-11-31,0
원주시,문막읍,2020-11-31,0
강릉시,옥천동,2020-11-31,0
동해시,천곡동,2020-11-31,0
삼척시,남양동,2020-11-31,0
평창군,평창읍,2020-11-31,0
정선군,정선읍,2020-11-31,0
횡성군,횡성읍,2020-11-31,0
고성군,상리,2020-11-31,0
양양군,양양읍,2020-11-31,0
속초시,금호동,2020-11-31,0
철원군,갈말읍,2020-11-31,0
홍천군,홍천읍,2020-11-31,0
영월군,영월읍,2020-11-31,0
화천군,화천읍,2020-11-31,0
태백시,황지동,2020-11-31,0
인제군,인제읍,2020-11-31,0
