지역,측정소명,날짜,이산화질소 농도
원주시,문막읍,2019-12-18,0.021
강릉시,옥천동,2019-12-18,0.017
동해시,천곡동,2019-12-18,0.012
삼척시,남양동,2019-12-18,0.016
속초시,금호동,2019-12-18,0.013
태백시,황지동,2019-12-18,11.675
춘천시,중앙로,2019-12-19,0.013
춘천시,석사동,2019-12-19,0.018
원주시,중앙동,2019-12-19,0.028
원주시,반곡동,2019-12-19,0.027
원주시,문막읍,2019-12-19,0.024
강릉시,옥천동,2019-12-19,0.013
동해시,천곡동,2019-12-19,0.010
삼척시,남양동,2019-12-19,0.014
속초시,금호동,2019-12-19,0.011
태백시,황지동,2019-12-19,0.006
춘천시,중앙로,2019-12-20,0.017
춘천시,석사동,2019-12-20,0.022
원주시,중앙동,2019-12-20,0.028
원주시,반곡동,2019-12-20,0.029
원주시,문막읍,2019-12-20,0.024
강릉시,옥천동,2019-12-20,0.014
동해시,천곡동,2019-12-20,0.014
삼척시,남양동,2019-12-20,0.018
속초시,금호동,2019-12-20,0.012
태백시,황지동,2019-12-20,0.008
춘천시,중앙로,2019-12-21,0.022
춘천시,석사동,2019-12-21,0.028
원주시,중앙동,2019-12-21,0.029
원주시,반곡동,2019-12-21,0.034
원주시,문막읍,2019-12-21,0.026
강릉시,옥천동,2019-12-21,0.015
동해시,천곡동,2019-12-21,0.014
삼척시,남양동,2019-12-21,0.018
속초시,금호동,2019-12-21,0.012
태백시,황지동,2019-12-21,0.007
춘천시,중앙로,2019-12-22,0.025
춘천시,석사동,2019-12-22,0.033
원주시,중앙동,2019-12-22,0.028
원주시,반곡동,2019-12-22,0.035
원주시,문막읍,2019-12-22,0.024
강릉시,옥천동,2019-12-22,0.016
동해시,천곡동,2019-12-22,0.025
삼척시,남양동,2019-12-22,0.018
속초시,금호동,2019-12-22,0.023
태백시,황지동,2019-12-22,0.016
춘천시,중앙로,2019-12-23,0.023
춘천시,석사동,2019-12-23,0.031
원주시,중앙동,2019-12-23,0.029
원주시,반곡동,2019-12-23,0.034
원주시,문막읍,2019-12-23,0.024
강릉시,옥천동,2019-12-23,0.015
동해시,천곡동,2019-12-23,0.016
삼척시,남양동,2019-12-23,0.016
속초시,금호동,2019-12-23,0.011
태백시,황지동,2019-12-23,0.010
춘천시,중앙로,2019-12-24,0.018
춘천시,석사동,2019-12-24,0.024
원주시,중앙동,2019-12-24,0.028
원주시,반곡동,2019-12-24,0.031
원주시,문막읍,2019-12-24,0.024
강릉시,옥천동,2019-12-24,0.016
