ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Àü¿î·®(1/10),Æò±Õ ÁßÇÏÃþ¿î·®(1/10)
105,°­¸ª,2021-10-02,21.6,2.6,1.5
105,°­¸ª,2021-10-03,24.6,5.3,2.5
105,°­¸ª,2021-10-04,25.9,9.8,5.6
105,°­¸ª,2021-10-05,20.9,8.6,6.0
105,°­¸ª,2021-10-06,17.9,9.5,7.3
105,°­¸ª,2021-10-07,18.0,8.6,6.6
105,°­¸ª,2021-10-08,18.4,9.1,6.4
105,°­¸ª,2021-10-09,19.8,8.6,5.3
105,°­¸ª,2021-10-10,24.1,8.3,2.1
105,°­¸ª,2021-10-11,16.4,9.4,2.5
105,°­¸ª,2021-10-12,16.8,9.0,4.3
105,°­¸ª,2021-10-13,17.5,7.8,6.9
105,°­¸ª,2021-10-14,20.1,3.9,0.9
105,°­¸ª,2021-10-15,17.3,10.0,4.3
105,°­¸ª,2021-10-16,13.8,9.3,4.4
105,°­¸ª,2021-10-17,7.5,1.3,0.0
105,°­¸ª,2021-10-18,12.0,3.1,2.0
105,°­¸ª,2021-10-19,12.0,8.5,3.4
105,°­¸ª,2021-10-20,11.1,6.3,3.3
105,°­¸ª,2021-10-21,11.7,5.9,1.8
105,°­¸ª,2021-10-22,10.6,7.3,2.6
105,°­¸ª,2021-10-23,13.1,1.8,0.1
105,°­¸ª,2021-10-24,13.8,0.6,0.5
105,°­¸ª,2021-10-25,14.0,1.3,0.5
105,°­¸ª,2021-10-26,15.9,2.4,1.6
105,°­¸ª,2021-10-27,16.6,2.1,1.4
105,°­¸ª,2021-10-28,14.2,1.0,0.8
105,°­¸ª,2021-10-29,13.3,4.8,2.8
105,°­¸ª,2021-10-30,15.1,5.6,1.4
105,°­¸ª,2021-10-31,15.7,1.6,0.4
105,°­¸ª,2021-11-01,15.2,4.1,1.3
105,°­¸ª,2021-11-02,13.0,6.1,2.0
